institution-id,institution-name,location-id
63741,University of Toledo,142381
60172,College of the Holy Cross,141399
61465,Goshen College,142316
61494,Gustavus Adolphus College,139568
120027,Idaho State University,141129
60281,University of California-Santa Cruz,80230
62010,Landmark College,140217
120126,Virginia Commonwealth University,141746
120126,Virginia Commonwealth University,139998
60636,Bridgewater State University,141497
63764,University of Wyoming,139452
120219,Auburn University Samuel Ginn College of Engineering,142330
62606,Norwich University,118520
59852,Brandeis University,79875
63324,Tennessee State University,141762
63760,University of Wisconsin-Stevens Point,105266
60955,Colorado College,141245
61467,Governors State University,140818
63227,St. Mary's University,142523
59989,University of California-Santa Barbara,80229
63613,University of Pennsylvania,142408
59995,University of New England,80248
59995,University of New England,80249
59995,University of New England,143636
63580,University of Massachusetts Dartmouth,142647
59985,University of California-Irvine,141853
61595,Hofstra University,89241
61595,Hofstra University,143526
61595,Hofstra University,143520
61595,Hofstra University,142648
63578,University of Massachusetts Amherst,141636
63872,Wayne State University,141312
60771,Case Western Reserve University,139582
61219,Edinboro University of Pennsylvania,141064
63753,University of Wisconsin-La Crosse,80503
60492,Auburn University,142509
60492,Auburn University,143903
60492,Auburn University,142330
60492,Auburn University,143494
60492,Auburn University,143529
59908,Indiana University-Bloomington,80019
59908,Indiana University-Bloomington,127937
59908,Indiana University-Bloomington,118804
60731,California University of Pennsylvania,139284
61405,Gannon University,142433
62383,Morgan State University,141471
63755,University of Wisconsin-Milwaukee,138075
63755,University of Wisconsin-Milwaukee,80762
63755,University of Wisconsin-Milwaukee,140796
63755,University of Wisconsin-Milwaukee,141028
120114,Fusion Academy,141703
120190,The American University in Cairo,142458
61649,Indiana University of Pennsylvania,142432
63867,Waukesha County Technical College,142527
62233,Mercy College,141166
62233,Mercy College,141167
60219,Pepperdine University,141827
60219,Pepperdine University,141828
62063,Liberty University,139765
59988,University of California-San Diego,80228
62877,Rensselaer Polytechnic Institute,141264
62877,Rensselaer Polytechnic Institute,141263
62877,Rensselaer Polytechnic Institute,141262
62877,Rensselaer Polytechnic Institute,141261
63763,University of Wisconsin-Whitewater,140023
120060,University of Mount Union,141305
120207,Averett University,142537
63883,West Chester University of Pennsylvania,84172
60302,University of San Francisco,140444
119939,Mount Carmel College of Nursing ,140771
59986,"University of California, Merced",80224
63092,Slippery Rock University of Pennsylvania,91756
63092,Slippery Rock University of Pennsylvania,91838
60212,Oregon State University,139136
60278,"University of California, Los Angeles",81405
60278,"University of California, Los Angeles",95816
60278,"University of California, Los Angeles",95519
60278,"University of California, Los Angeles",95815
60773,Castleton University  ,139850
63581,University of Massachusetts Lowell,81750
63581,University of Massachusetts Lowell,102526
63421,The University of the Arts,139829
60231,Rollins College,80132
60199,Missouri State University,142338
60199,Missouri State University,142342
120073,Emory University,141321
63583,University of Memphis,140573
63583,University of Memphis,140588
63583,University of Memphis,140586
63583,University of Memphis,140574
63894,West Texas A & M University,141522
63894,West Texas A & M University,141523
63494,United States Air Force Academy,141387
63494,United States Air Force Academy,141392
63494,United States Air Force Academy,141396
120117,Claremont Colleges,141711
109075,Johns Hopkins University,127180
109075,Johns Hopkins University,143756
109075,Johns Hopkins University,139384
109075,Johns Hopkins University,139385
67038,Columbia University,84997
67038,Columbia University,143199
64032,Harvard College,80618
62806,Princeton University,91181
61072,Dartmouth College,80512
61072,Dartmouth College,80674
60018,Yale University,80314
60018,Yale University,143317
60018,Yale University,143564
60018,Yale University,138880
60018,Yale University,138878
60018,Yale University,138877
60018,Yale University,138879
60004,Vanderbilt University,80275
60211,Northeastern University,80086
60288,University of Minnesota-Twin Cities,80239
63282,University at Albany,80743
63282,University at Albany,81517
59943,The Ohio State University-Columbus,80097
59943,The Ohio State University-Columbus,110743
64036,Pennsylvania State University - University Park,80371
61236,Embry-Riddle Aeronautical University-Daytona Beach,80536
59971,Syracuse University,80182
63560,University of Kentucky,80687
63560,University of Kentucky,80936
59882,Florida Atlantic University,79957
59882,Florida Atlantic University,79959
59882,Florida Atlantic University,79960
64048,Tel Aviv University,80509
64048,Tel Aviv University,80462
59975,Texas Tech University,80204
60007,United States Military Academy - West Point,143509
60007,United States Military Academy - West Point,143511
60007,United States Military Academy - West Point,143510
59940,Ohio University-Main,80093
59968,Stony Brook University,80175
59968,Stony Brook University,140923
59968,Stony Brook University,143491
59968,Stony Brook University,142275
59968,Stony Brook University,142276
59968,Stony Brook University,142274
59993,University of North Carolina at Wilmington,80246
59993,University of North Carolina at Wilmington,142621
59887,Fordham University,79970
59887,Fordham University,79972
59960,Skidmore College,80160
59960,Skidmore College,114102
60022,Youngstown State University,80318
59974,Towson University,80197
60013,William Paterson University of New Jersey,80305
59979,University of Arkansas,80213
59848,Bentley University,79865
59996,University of New Haven,80250
59896,University of Hartford,79994
62202,Massachusetts College of Art and Design,124310
62959,St Louis Community College,143817
60845,Cheyney University of Pennsylvania,143745
63761,University of Wisconsin-Stout,80513
63758,University of Wisconsin-Platteville,142986
63758,University of Wisconsin-Platteville,143232
60746,Cape Fear Community College,143473
63752,University of Wisconsin-Green Bay,143470
62554,Northeastern Illinois University,143563
62567,Northern Virginia Community College,143501
63065,Shelton State Community College,143181
60971,Columbia College (SC),143415
62412,Muhlenberg College,143012
60101,"University of California, Berkeley",142931
60101,"University of California, Berkeley",143453
63759,University of Wisconsin-River Falls,143815
62088,Lincoln Memorial University,85604
62097,Lindenwood University,136824
62467,Nazareth College,90091
62522,North Carolina Central University,83731
62522,North Carolina Central University,84523
62597,Northwestern Michigan College,80347
62597,Northwestern Michigan College,80348
62597,Northwestern Michigan College,80380
62597,Northwestern Michigan College,80381
62633,Ohio Northern University,80517
62797,WVU Potomac State College,141407
62932,Rutgers University-Newark,80872
63157,Southern Oregon University,141498
63220,St. Mary's College of Maryland,80369
63544,University of Detroit Mercy,124317
63595,University of Nebraska at Kearney,80566
63707,University of Puget Sound,120661
63731,University of Southern Maine,141511
63731,University of Southern Maine,141509
63731,University of Southern Maine,141510
63835,Virginia Wesleyan University,112607
63861,Washington College,141496
63923,Westfield State University,136668
63925,Westminster College (MO),143074
63925,Westminster College (MO),143542
63925,Westminster College (MO),143549
63925,Westminster College (MO),143540
63925,Westminster College (MO),143547
63925,Westminster College (MO),143538
63925,Westminster College (MO),143545
63925,Westminster College (MO),143387
63925,Westminster College (MO),143543
63925,Westminster College (MO),143550
63925,Westminster College (MO),143541
63925,Westminster College (MO),143548
63925,Westminster College (MO),143539
63925,Westminster College (MO),143546
63925,Westminster College (MO),143537
63925,Westminster College (MO),143544
59863,Chatham University,79904
59863,Chatham University,141158
59863,Chatham University,141159
59863,Chatham University,141160
59884,Ferris State University,79963
59892,Grand Rapids Community College,79988
59953,College of the Rockies,80131
59970,Schenectady County Community College,80180
59991,University of Minnesota-Morris,80238
59992,University of Northern Colorado,80245
60363,Aims Community College,80678
60679,Brown University,135720
60679,Brown University,142928
60785,Centenary University,80414
60798,Central Connecticut State University,117257
61148,Dillard University,92532
61195,Eastern Mennonite University,137198
61221,Edison State Community College,122950
61316,Fayetteville State University,126079
61422,Georgetown University,139347
61887,Judson University,80516
60016,West Virginia University,80311
60016,West Virginia University,86579
62738,Pennsylvania State University-Erie-Behrend College,128629
62802,Prescott College,80476
62802,Prescott College,142719
